######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 2067/2148 for chr10:	RP11-339B9.1
gene 2068/2148 for chr10:	RP11-540N6.1
gene 2069/2148 for chr10:	MIR378C
gene 2070/2148 for chr10:	TCERG1L
gene 2071/2148 for chr10:	TCERG1L-AS1
gene 2072/2148 for chr10:	LINC01164
gene 2073/2148 for chr10:	XX-FYM637E10_5.1
gene 2074/2148 for chr10:	ABC11-4932300O16.1
gene 2075/2148 for chr10:	PPP2R2D
gene 2076/2148 for chr10:	BNIP3
gene 2077/2148 for chr10:	RP11-45A17.2
gene 2078/2148 for chr10:	RP11-45A17.4
gene 2079/2148 for chr10:	RP11-45A17.3
gene 2080/2148 for chr10:	JAKMIP3
gene 2081/2148 for chr10:	RP11-140A10.3
gene 2082/2148 for chr10:	DPYSL4
gene 2083/2148 for chr10:	STK32C
gene 2084/2148 for chr10:	LRRC27
gene 2085/2148 for chr10:	PWWP2B
gene 2086/2148 for chr10:	RP11-432J24.2
gene 2087/2148 for chr10:	RP11-432J24.3
gene 2088/2148 for chr10:	C10orf91
gene 2089/2148 for chr10:	RP11-432J24.5
gene 2090/2148 for chr10:	LINC01165
gene 2091/2148 for chr10:	INPP5A
gene 2092/2148 for chr10:	NKX6-2
gene 2093/2148 for chr10:	CFAP46
gene 2094/2148 for chr10:	LINC01166
gene 2095/2148 for chr10:	LINC01167
gene 2096/2148 for chr10:	LINC01168
gene 2097/2148 for chr10:	ADGRA1
gene 2098/2148 for chr10:	ADGRA1-AS1
gene 2099/2148 for chr10:	RPL5P28
gene 2100/2148 for chr10:	KNDC1
gene 2101/2148 for chr10:	UTF1
gene 2102/2148 for chr10:	VENTX
gene 2103/2148 for chr10:	MIR202HG
gene 2104/2148 for chr10:	RP13-49I15.6
gene 2105/2148 for chr10:	ADAM8
gene 2106/2148 for chr10:	TUBGCP2
gene 2107/2148 for chr10:	RP11-122K13.12
gene 2108/2148 for chr10:	ZNF511
gene 2109/2148 for chr10:	ZNF511-PRAP1
gene 2110/2148 for chr10:	CALY
gene 2111/2148 for chr10:	BANF1P2
gene 2112/2148 for chr10:	RP11-122K13.7
gene 2113/2148 for chr10:	PRAP1
gene 2114/2148 for chr10:	FUOM
gene 2115/2148 for chr10:	ECHS1
gene 2116/2148 for chr10:	MIR3944
gene 2117/2148 for chr10:	RP11-122K13.15
gene 2118/2148 for chr10:	PAOX
gene 2119/2148 for chr10:	RP11-108K14.8
gene 2120/2148 for chr10:	MTG1
gene 2121/2148 for chr10:	SPRN
gene 2122/2148 for chr10:	OR6L2P
gene 2123/2148 for chr10:	SCART1
gene 2124/2148 for chr10:	OR7M1P
gene 2125/2148 for chr10:	CYP2E1
gene 2126/2148 for chr10:	RP11-108K14.12
gene 2127/2148 for chr10:	SYCE1
gene 2128/2148 for chr10:	OR6L1P
gene 2129/2148 for chr10:	FRG2B
gene 2130/2148 for chr10:	RARRES2P2
gene 2131/2148 for chr10:	AGGF1P2
gene 2132/2148 for chr10:	CLUHP5
gene 2133/2148 for chr10:	DUX4L28
gene 2134/2148 for chr10:	DUX4L25
gene 2135/2148 for chr10:	DUX4L24
gene 2136/2148 for chr10:	DUX4L23
gene 2137/2148 for chr10:	DUX4L22
gene 2138/2148 for chr10:	DUX4L21
gene 2139/2148 for chr10:	DUX4L20
gene 2140/2148 for chr10:	DUX4L29
gene 2141/2148 for chr10:	DUX4L10
gene 2142/2148 for chr10:	DUX4L11
gene 2143/2148 for chr10:	DUX4L12
gene 2144/2148 for chr10:	DUX4L13
gene 2145/2148 for chr10:	DUX4L14
gene 2146/2148 for chr10:	DUX4L15
gene 2147/2148 for chr10:	RPL23AP60
gene 2148/2148 for chr10:	XXyac-YRM2136_A.2
######## Chromosome chr11 #########

gene 1/3185 for chr11:	WBP1LP10
gene 2/3185 for chr11:	OR4F2P
gene 3/3185 for chr11:	RP11-304M2.6
gene 4/3185 for chr11:	CICP23
gene 5/3185 for chr11:	LINC01001
gene 6/3185 for chr11:	RP11-304M2.3
gene 7/3185 for chr11:	RNU6-447P
gene 8/3185 for chr11:	BET1L
gene 9/3185 for chr11:	SCGB1C1
gene 10/3185 for chr11:	ODF3
gene 11/3185 for chr11:	RP11-304M2.5
gene 12/3185 for chr11:	RIC8A
gene 13/3185 for chr11:	SIRT3
gene 14/3185 for chr11:	PSMD13
gene 15/3185 for chr11:	RP11-326C3.16
gene 16/3185 for chr11:	NLRP6
gene 17/3185 for chr11:	RP11-326C3.2
gene 18/3185 for chr11:	PGGHG
gene 19/3185 for chr11:	IFITM5
gene 20/3185 for chr11:	RP11-326C3.4
gene 21/3185 for chr11:	IFITM2
gene 22/3185 for chr11:	RP11-326C3.7
gene 23/3185 for chr11:	IFITM1
gene 24/3185 for chr11:	RP11-326C3.11
gene 25/3185 for chr11:	IFITM3
gene 26/3185 for chr11:	RP11-326C3.10
gene 27/3185 for chr11:	RP11-326C3.14
gene 28/3185 for chr11:	RP11-326C3.13
gene 29/3185 for chr11:	RP11-326C3.12
gene 30/3185 for chr11:	RP11-326C3.15
gene 31/3185 for chr11:	B4GALNT4
gene 32/3185 for chr11:	PKP3
gene 33/3185 for chr11:	SIGIRR
gene 34/3185 for chr11:	ANO9
gene 35/3185 for chr11:	RN7SL838P
gene 36/3185 for chr11:	PTDSS2
gene 37/3185 for chr11:	RP13-317D12.3
gene 38/3185 for chr11:	RNH1
gene 39/3185 for chr11:	RP13-46H24.1
gene 40/3185 for chr11:	HRAS
gene 41/3185 for chr11:	LRRC56
gene 42/3185 for chr11:	LMNTD2
gene 43/3185 for chr11:	RP11-496I9.1
gene 44/3185 for chr11:	RASSF7
gene 45/3185 for chr11:	MIR210HG
gene 46/3185 for chr11:	MIR210
gene 47/3185 for chr11:	PHRF1
gene 48/3185 for chr11:	IRF7
gene 49/3185 for chr11:	CDHR5
gene 50/3185 for chr11:	SCT
gene 51/3185 for chr11:	DRD4
gene 52/3185 for chr11:	DEAF1
gene 53/3185 for chr11:	RP11-754B17.1
gene 54/3185 for chr11:	EPS8L2
gene 55/3185 for chr11:	TMEM80
gene 56/3185 for chr11:	AP006621.9
gene 57/3185 for chr11:	TALDO1
gene 58/3185 for chr11:	PDDC1
gene 59/3185 for chr11:	AP006621.5
gene 60/3185 for chr11:	CMB9-55F22.1
gene 61/3185 for chr11:	AP006621.6
gene 62/3185 for chr11:	CEND1
gene 63/3185 for chr11:	SLC25A22
gene 64/3185 for chr11:	PANO1
gene 65/3185 for chr11:	PIDD1
gene 66/3185 for chr11:	RPLP2
gene 67/3185 for chr11:	SNORA52
gene 68/3185 for chr11:	PNPLA2
gene 69/3185 for chr11:	AP006621.8
gene 70/3185 for chr11:	CRACR2B
gene 71/3185 for chr11:	CD151
gene 72/3185 for chr11:	POLR2L
gene 73/3185 for chr11:	TSPAN4
gene 74/3185 for chr11:	RP11-1391J7.1
gene 75/3185 for chr11:	CHID1
gene 76/3185 for chr11:	AP2A2
gene 77/3185 for chr11:	RNU6-1025P
gene 78/3185 for chr11:	MUC6
gene 79/3185 for chr11:	RP13-870H17.3
gene 80/3185 for chr11:	MUC2
gene 81/3185 for chr11:	MUC5AC
gene 82/3185 for chr11:	MUC5B
gene 83/3185 for chr11:	RP11-532E4.2
gene 84/3185 for chr11:	MIR6744
gene 85/3185 for chr11:	TOLLIP
gene 86/3185 for chr11:	TOLLIP-AS1
gene 87/3185 for chr11:	BRSK2
gene 88/3185 for chr11:	MOB2
gene 89/3185 for chr11:	DUSP8
gene 90/3185 for chr11:	KRTAP5-AS1
gene 91/3185 for chr11:	AP006285.2
gene 92/3185 for chr11:	KRTAP5-1
gene 93/3185 for chr11:	KRTAP5-2
gene 94/3185 for chr11:	KRTAP5-3
gene 95/3185 for chr11:	KRTAP5-4
gene 96/3185 for chr11:	KRTAP5-5
gene 97/3185 for chr11:	AP006285.7
gene 98/3185 for chr11:	FAM99A
gene 99/3185 for chr11:	FAM99B
gene 100/3185 for chr11:	AP006285.6
gene 101/3185 for chr11:	KRTAP5-6
gene 102/3185 for chr11:	IFITM10
gene 103/3185 for chr11:	RP11-295K3.1
gene 104/3185 for chr11:	CTSD
gene 105/3185 for chr11:	AC068580.6
gene 106/3185 for chr11:	AC068580.5
gene 107/3185 for chr11:	AC068580.7
gene 108/3185 for chr11:	RPL36AP39
gene 109/3185 for chr11:	AC139143.2
gene 110/3185 for chr11:	SYT8
gene 111/3185 for chr11:	TNNI2
gene 112/3185 for chr11:	LSP1
gene 113/3185 for chr11:	MIR4298
gene 114/3185 for chr11:	AC051649.12
gene 115/3185 for chr11:	LINC01150
gene 116/3185 for chr11:	TNNT3
gene 117/3185 for chr11:	MRPL23
gene 118/3185 for chr11:	MRPL23-AS1
gene 119/3185 for chr11:	LINC01219
gene 120/3185 for chr11:	H19
gene 121/3185 for chr11:	H19_1
gene 122/3185 for chr11:	H19_2
gene 123/3185 for chr11:	IGF2
gene 124/3185 for chr11:	AC132217.4
gene 125/3185 for chr11:	INS-IGF2
gene 126/3185 for chr11:	MIR483
gene 127/3185 for chr11:	IGF2-AS
gene 128/3185 for chr11:	INS
gene 129/3185 for chr11:	TH
gene 130/3185 for chr11:	MIR4686
gene 131/3185 for chr11:	ASCL2
gene 132/3185 for chr11:	C11orf21
gene 133/3185 for chr11:	TSPAN32
gene 134/3185 for chr11:	RNU6-878P
gene 135/3185 for chr11:	CD81-AS1
gene 136/3185 for chr11:	RPL26P30
gene 137/3185 for chr11:	Y_RNA
gene 138/3185 for chr11:	CD81
gene 139/3185 for chr11:	TSSC4
gene 140/3185 for chr11:	TRPM5
gene 141/3185 for chr11:	AC124057.5
gene 142/3185 for chr11:	KCNQ1
gene 143/3185 for chr11:	KCNQ1OT1
gene 144/3185 for chr11:	KCNQ1OT1_1
gene 145/3185 for chr11:	KCNQ1OT1_2
gene 146/3185 for chr11:	KCNQ1OT1_3
gene 147/3185 for chr11:	KCNQ1OT1_5
gene 148/3185 for chr11:	COX6CP18
gene 149/3185 for chr11:	KCNQ1-AS1
gene 150/3185 for chr11:	KCNQ1DN
gene 151/3185 for chr11:	AC013791.1
gene 152/3185 for chr11:	CDKN1C
gene 153/3185 for chr11:	SLC22A18AS
gene 154/3185 for chr11:	SLC22A18
gene 155/3185 for chr11:	PHLDA2
gene 156/3185 for chr11:	NAP1L4
gene 157/3185 for chr11:	SNORA54
gene 158/3185 for chr11:	CTC-343N3.1
gene 159/3185 for chr11:	CARS
gene 160/3185 for chr11:	CARS-AS1
gene 161/3185 for chr11:	RNU1-91P
gene 162/3185 for chr11:	AC108448.2
gene 163/3185 for chr11:	OSBPL5
gene 164/3185 for chr11:	AC108448.3
gene 165/3185 for chr11:	MRGPRG
gene 166/3185 for chr11:	MRGPRG-AS1
gene 167/3185 for chr11:	AC109309.4
gene 168/3185 for chr11:	MRGPRE
gene 169/3185 for chr11:	NDUFA5P8
gene 170/3185 for chr11:	RP11-11A9.1
gene 171/3185 for chr11:	NDUFA5P1
gene 172/3185 for chr11:	RP11-11A9.2
gene 173/3185 for chr11:	RP5-1173A5.1
gene 174/3185 for chr11:	ZNF195
gene 175/3185 for chr11:	TSSC2
gene 176/3185 for chr11:	OR7E12P
gene 177/3185 for chr11:	FAM86GP
gene 178/3185 for chr11:	RP13-726E6.2
gene 179/3185 for chr11:	RP13-726E6.1
gene 180/3185 for chr11:	SNRPCP5
gene 181/3185 for chr11:	RPS3AP39
gene 182/3185 for chr11:	RPS24P14
gene 183/3185 for chr11:	AP006294.2
gene 184/3185 for chr11:	OR7E117P
gene 185/3185 for chr11:	TRPC2
gene 186/3185 for chr11:	ART5
gene 187/3185 for chr11:	ART1
gene 188/3185 for chr11:	CHRNA10
gene 189/3185 for chr11:	NUP98
gene 190/3185 for chr11:	RNU6-1143P
gene 191/3185 for chr11:	RNU7-50P
gene 192/3185 for chr11:	PGAP2
gene 193/3185 for chr11:	RHOG
gene 194/3185 for chr11:	AC090587.5
gene 195/3185 for chr11:	STIM1
gene 196/3185 for chr11:	AC090587.4
gene 197/3185 for chr11:	AC090804.1
gene 198/3185 for chr11:	SNORA7
gene 199/3185 for chr11:	RP11-438N5.4
gene 200/3185 for chr11:	HNRNPA1P76
gene 201/3185 for chr11:	RP11-438N5.2
gene 202/3185 for chr11:	RPS29P20
gene 203/3185 for chr11:	RRM1
gene 204/3185 for chr11:	RRM1-AS1
gene 205/3185 for chr11:	OR55B1P
gene 206/3185 for chr11:	RP11-23F23.2
gene 207/3185 for chr11:	RP11-23F23.3
gene 208/3185 for chr11:	SSU72P5
gene 209/3185 for chr11:	SSU72P2
gene 210/3185 for chr11:	SSU72P6
gene 211/3185 for chr11:	SSU72P4
gene 212/3185 for chr11:	SSU72P3
gene 213/3185 for chr11:	SSU72P7
gene 214/3185 for chr11:	OR52B4
gene 215/3185 for chr11:	OR52B3P
gene 216/3185 for chr11:	TRIM21
gene 217/3185 for chr11:	OR51R1P
gene 218/3185 for chr11:	OR52P2P
gene 219/3185 for chr11:	OR52K2
gene 220/3185 for chr11:	OR52K3P
gene 221/3185 for chr11:	OR52K1
gene 222/3185 for chr11:	OR52M2P
gene 223/3185 for chr11:	OR52M1
gene 224/3185 for chr11:	C11orf40
gene 225/3185 for chr11:	OR52I2
gene 226/3185 for chr11:	OR52I1
gene 227/3185 for chr11:	TRIM68
gene 228/3185 for chr11:	OR51D1
gene 229/3185 for chr11:	OR51E1
gene 230/3185 for chr11:	OR51A9P
gene 231/3185 for chr11:	OR51E2
gene 232/3185 for chr11:	OR51C1P
gene 233/3185 for chr11:	MMP26
gene 234/3185 for chr11:	OR51F5P
gene 235/3185 for chr11:	OR51C4P
gene 236/3185 for chr11:	KRT8P49
gene 237/3185 for chr11:	OR51F3P
gene 238/3185 for chr11:	OR51F4P
gene 239/3185 for chr11:	SNORA62
gene 240/3185 for chr11:	OR51F1
gene 241/3185 for chr11:	OR51N1P
gene 242/3185 for chr11:	OR52Y1P
gene 243/3185 for chr11:	OR52R1
gene 244/3185 for chr11:	OR51F2
gene 245/3185 for chr11:	OR51A8P
gene 246/3185 for chr11:	OR51S1
gene 247/3185 for chr11:	OR51H1
gene 248/3185 for chr11:	OR51H2P
gene 249/3185 for chr11:	OR51T1
gene 250/3185 for chr11:	OR51A6P
gene 251/3185 for chr11:	OR51A7
gene 252/3185 for chr11:	OR51G2
gene 253/3185 for chr11:	OR51G1
gene 254/3185 for chr11:	OR51A3P
gene 255/3185 for chr11:	OR51A4
gene 256/3185 for chr11:	OR51A2
gene 257/3185 for chr11:	OR51A5P
gene 258/3185 for chr11:	OR51L1
gene 259/3185 for chr11:	OR51P1P
gene 260/3185 for chr11:	OR52J2P
gene 261/3185 for chr11:	OR52J3
gene 262/3185 for chr11:	OR52E2
gene 263/3185 for chr11:	OR52E1
gene 264/3185 for chr11:	OR52S1P
gene 265/3185 for chr11:	OR52E3P
gene 266/3185 for chr11:	OR52J1P
gene 267/3185 for chr11:	AC113331.9
gene 268/3185 for chr11:	OR52A4P
gene 269/3185 for chr11:	OR52A5
gene 270/3185 for chr11:	OR52A1
gene 271/3185 for chr11:	OR51A1P
gene 272/3185 for chr11:	OR52Z1
gene 273/3185 for chr11:	OR51V1
gene 274/3185 for chr11:	AC104389.16
gene 275/3185 for chr11:	CoTC_ribozyme
gene 276/3185 for chr11:	HBB
gene 277/3185 for chr11:	HBD
gene 278/3185 for chr11:	HBBP1
gene 279/3185 for chr11:	BGLT3
gene 280/3185 for chr11:	HBG1
gene 281/3185 for chr11:	HBG2
gene 282/3185 for chr11:	AC104389.2
gene 283/3185 for chr11:	AC104389.1
gene 284/3185 for chr11:	HBE1
gene 285/3185 for chr11:	OR51AB1P
gene 286/3185 for chr11:	OR51B4
gene 287/3185 for chr11:	AC104389.28
gene 288/3185 for chr11:	OR51B3P
gene 289/3185 for chr11:	OR51B2
gene 290/3185 for chr11:	OR51B8P
gene 291/3185 for chr11:	OR51B5
gene 292/3185 for chr11:	OR51B6
gene 293/3185 for chr11:	AC104389.31
gene 294/3185 for chr11:	AC104389.32
gene 295/3185 for chr11:	OR51M1
gene 296/3185 for chr11:	OR51J1
gene 297/3185 for chr11:	OR51Q1
gene 298/3185 for chr11:	OR51K1P
gene 299/3185 for chr11:	OR51I1
gene 300/3185 for chr11:	OR51I2
gene 301/3185 for chr11:	OR51A10P
gene 302/3185 for chr11:	OR52D1
gene 303/3185 for chr11:	UBQLN3
gene 304/3185 for chr11:	UBQLNL
gene 305/3185 for chr11:	OLFM5P
gene 306/3185 for chr11:	OR52V1P
gene 307/3185 for chr11:	OR52H1
gene 308/3185 for chr11:	OR52H2P
gene 309/3185 for chr11:	OR52B5P
gene 310/3185 for chr11:	OR52T1P
gene 311/3185 for chr11:	HNRNPA1P53
gene 312/3185 for chr11:	AC015691.13
gene 313/3185 for chr11:	OR52B6
gene 314/3185 for chr11:	TRIM6
gene 315/3185 for chr11:	TRIM6-TRIM34
gene 316/3185 for chr11:	TRIM34
gene 317/3185 for chr11:	TRIM5
gene 318/3185 for chr11:	TRIM22
gene 319/3185 for chr11:	OR52U1P
gene 320/3185 for chr11:	OR52P1P
gene 321/3185 for chr11:	OR56B1
gene 322/3185 for chr11:	OR52N4
gene 323/3185 for chr11:	OR56B2P
gene 324/3185 for chr11:	OR52N5
gene 325/3185 for chr11:	OR52N1
gene 326/3185 for chr11:	OR52N3P
gene 327/3185 for chr11:	OR52N2
gene 328/3185 for chr11:	OR52E6
gene 329/3185 for chr11:	OR52E8
gene 330/3185 for chr11:	OR52E7P
gene 331/3185 for chr11:	OR52E4
gene 332/3185 for chr11:	OR52E5
gene 333/3185 for chr11:	OR52Q1P
gene 334/3185 for chr11:	AC025016.1
gene 335/3185 for chr11:	OR56A3
gene 336/3185 for chr11:	OR56A5
gene 337/3185 for chr11:	OR52L1
gene 338/3185 for chr11:	KRT18P58
gene 339/3185 for chr11:	OR56A4
gene 340/3185 for chr11:	RNA5SP329
gene 341/3185 for chr11:	OR56A1
gene 342/3185 for chr11:	OR56A7P
gene 343/3185 for chr11:	OR52L2P
gene 344/3185 for chr11:	OR52X1P
gene 345/3185 for chr11:	OR56B4
gene 346/3185 for chr11:	RP11-290F24.3
gene 347/3185 for chr11:	OR56B3P
gene 348/3185 for chr11:	OR52B1P
gene 349/3185 for chr11:	OR52B2
gene 350/3185 for chr11:	OR52W1
gene 351/3185 for chr11:	RP11-290F24.6
gene 352/3185 for chr11:	C11orf42
gene 353/3185 for chr11:	FAM160A2
gene 354/3185 for chr11:	CNGA4
gene 355/3185 for chr11:	CCKBR
gene 356/3185 for chr11:	RP11-304C12.4
gene 357/3185 for chr11:	PRKCDBP
gene 358/3185 for chr11:	RP11-304C12.5
gene 359/3185 for chr11:	RP11-304C12.3
gene 360/3185 for chr11:	SMPD1
gene 361/3185 for chr11:	APBB1
gene 362/3185 for chr11:	HPX
gene 363/3185 for chr11:	TRIM3
gene 364/3185 for chr11:	ARFIP2
gene 365/3185 for chr11:	TIMM10B
gene 366/3185 for chr11:	CTD-2010I16.1
gene 367/3185 for chr11:	DNHD1
gene 368/3185 for chr11:	RRP8
gene 369/3185 for chr11:	RP11-732A19.8
gene 370/3185 for chr11:	ILK
gene 371/3185 for chr11:	TAF10
gene 372/3185 for chr11:	RP11-732A19.2
gene 373/3185 for chr11:	TPP1
gene 374/3185 for chr11:	RP11-732A19.9
gene 375/3185 for chr11:	DCHS1
gene 376/3185 for chr11:	RP11-732A19.5
gene 377/3185 for chr11:	RP11-732A19.6
gene 378/3185 for chr11:	MRPL17
gene 379/3185 for chr11:	RP11-732A19.1
gene 380/3185 for chr11:	GVINP1
gene 381/3185 for chr11:	GVINP2
gene 382/3185 for chr11:	OR2AG2
gene 383/3185 for chr11:	OR2AG1
gene 384/3185 for chr11:	OR6A2
gene 385/3185 for chr11:	RP11-413N10.3
gene 386/3185 for chr11:	RP11-560B16.5
gene 387/3185 for chr11:	OR10A5
gene 388/3185 for chr11:	OR10A2
gene 389/3185 for chr11:	OR10A4
gene 390/3185 for chr11:	OR2D2
gene 391/3185 for chr11:	OR2D3
gene 392/3185 for chr11:	ZNF215
gene 393/3185 for chr11:	ZNF214
gene 394/3185 for chr11:	NLRP14
gene 395/3185 for chr11:	RBMXL2
gene 396/3185 for chr11:	RP11-324J3.1
gene 397/3185 for chr11:	MIR302E
gene 398/3185 for chr11:	SYT9
gene 399/3185 for chr11:	CTD-2516F10.2
gene 400/3185 for chr11:	OLFML1
gene 401/3185 for chr11:	PPFIBP2
gene 402/3185 for chr11:	CTD-2516F10.4
gene 403/3185 for chr11:	CYB5R2
gene 404/3185 for chr11:	OVCH2
gene 405/3185 for chr11:	RP11-35J10.6
gene 406/3185 for chr11:	RP11-35J10.7
gene 407/3185 for chr11:	RP11-35J10.5
gene 408/3185 for chr11:	RP11-35J10.4
gene 409/3185 for chr11:	OR10AB1P
gene 410/3185 for chr11:	OR5P4P
gene 411/3185 for chr11:	RP11-494M8.4
gene 412/3185 for chr11:	OR5P1P
gene 413/3185 for chr11:	RP11-494M8.1
gene 414/3185 for chr11:	OR5P2
gene 415/3185 for chr11:	OR5P3
gene 416/3185 for chr11:	OR5E1P
gene 417/3185 for chr11:	RNU6-943P
gene 418/3185 for chr11:	OR10A6
gene 419/3185 for chr11:	OR10A3
gene 420/3185 for chr11:	NLRP10
gene 421/3185 for chr11:	EIF3F
gene 422/3185 for chr11:	COX6CP5
gene 423/3185 for chr11:	CASC23
gene 424/3185 for chr11:	TUB
gene 425/3185 for chr11:	RP11-236J17.6
gene 426/3185 for chr11:	TUB-AS1
gene 427/3185 for chr11:	RP11-236J17.7
gene 428/3185 for chr11:	RIC3
gene 429/3185 for chr11:	RP11-379P15.1
gene 430/3185 for chr11:	LMO1
gene 431/3185 for chr11:	STK33
gene 432/3185 for chr11:	SCARNA20
gene 433/3185 for chr11:	TRIM66
gene 434/3185 for chr11:	RP11-152H18.4
gene 435/3185 for chr11:	RPL27A
gene 436/3185 for chr11:	SNORA3A
gene 437/3185 for chr11:	SNORA3B
gene 438/3185 for chr11:	ST5
gene 439/3185 for chr11:	RP11-152H18.3
gene 440/3185 for chr11:	RP11-318C2.1
gene 441/3185 for chr11:	RNA5SP330
gene 442/3185 for chr11:	AKIP1
gene 443/3185 for chr11:	C11orf16
gene 444/3185 for chr11:	ASCL3
gene 445/3185 for chr11:	TMEM9B
gene 446/3185 for chr11:	TMEM9B-AS1
gene 447/3185 for chr11:	NRIP3
gene 448/3185 for chr11:	RP11-467K18.2
gene 449/3185 for chr11:	SCUBE2
gene 450/3185 for chr11:	MIR5691
gene 451/3185 for chr11:	KRT8P41
gene 452/3185 for chr11:	DENND5A
gene 453/3185 for chr11:	RP11-5L12.1
gene 454/3185 for chr11:	Metazoa_SRP
gene 455/3185 for chr11:	TMEM41B
gene 456/3185 for chr11:	PRR13P2
gene 457/3185 for chr11:	IPO7
gene 458/3185 for chr11:	SNORA23
gene 459/3185 for chr11:	CTD-2371O3.2
gene 460/3185 for chr11:	CTD-2371O3.3
gene 461/3185 for chr11:	ZNF143
gene 462/3185 for chr11:	WEE1
gene 463/3185 for chr11:	snoU13
gene 464/3185 for chr11:	RPL23AP65
gene 465/3185 for chr11:	RP11-16F15.4
gene 466/3185 for chr11:	RP11-16F15.2
gene 467/3185 for chr11:	SWAP70
gene 468/3185 for chr11:	RN7SKP50
gene 469/3185 for chr11:	RP11-540A21.2
gene 470/3185 for chr11:	SBF2-AS1
gene 471/3185 for chr11:	SBF2
gene 472/3185 for chr11:	RP11-1H15.2
gene 473/3185 for chr11:	RNU7-28P
gene 474/3185 for chr11:	RP11-1H15.1
gene 475/3185 for chr11:	RP11-748C4.1
gene 476/3185 for chr11:	RP11-351I24.3
gene 477/3185 for chr11:	RP11-351I24.1
gene 478/3185 for chr11:	ADM
gene 479/3185 for chr11:	AMPD3
gene 480/3185 for chr11:	RNU6ATAC33P
gene 481/3185 for chr11:	MTRNR2L8
gene 482/3185 for chr11:	RNF141
gene 483/3185 for chr11:	MRVI1-AS1
gene 484/3185 for chr11:	LYVE1
gene 485/3185 for chr11:	MRVI1
gene 486/3185 for chr11:	CTR9
gene 487/3185 for chr11:	RP11-685M7.5
gene 488/3185 for chr11:	EIF4G2
gene 489/3185 for chr11:	SNORD97
gene 490/3185 for chr11:	RP11-685M7.3
gene 491/3185 for chr11:	ZBED5
gene 492/3185 for chr11:	ZBED5-AS1
gene 493/3185 for chr11:	CTD-2003C8.2
gene 494/3185 for chr11:	RP11-179A10.1
gene 495/3185 for chr11:	RP11-179A10.2
gene 496/3185 for chr11:	RP11-179A10.3
gene 497/3185 for chr11:	MTND5P21
gene 498/3185 for chr11:	CTD-3224I3.3
gene 499/3185 for chr11:	GALNT18
gene 500/3185 for chr11:	CSNK2A3
gene 501/3185 for chr11:	RP11-567I13.1
gene 502/3185 for chr11:	RP11-483L5.1
gene 503/3185 for chr11:	MIR4299
gene 504/3185 for chr11:	RP11-756D7.2
gene 505/3185 for chr11:	RP11-756D7.1
gene 506/3185 for chr11:	MIR8070
gene 507/3185 for chr11:	USP47
gene 508/3185 for chr11:	CTD-2381F24.1
gene 509/3185 for chr11:	DKK3
gene 510/3185 for chr11:	RP13-631K18.2
gene 511/3185 for chr11:	RP13-631K18.3
gene 512/3185 for chr11:	RP13-631K18.5
gene 513/3185 for chr11:	MICAL2
gene 514/3185 for chr11:	MIR6124
gene 515/3185 for chr11:	RP11-265D17.2
gene 516/3185 for chr11:	MICALCL
gene 517/3185 for chr11:	RP11-573E11.2
gene 518/3185 for chr11:	PARVA
gene 519/3185 for chr11:	RP11-51B23.3
gene 520/3185 for chr11:	TEAD1
gene 521/3185 for chr11:	RP11-47J17.3
gene 522/3185 for chr11:	RP11-47J17.1
gene 523/3185 for chr11:	SCARNA16
gene 524/3185 for chr11:	RP11-47J17.2
gene 525/3185 for chr11:	LINC00958
gene 526/3185 for chr11:	CTC-497E21.3
gene 527/3185 for chr11:	RASSF10
gene 528/3185 for chr11:	CTC-497E21.5
gene 529/3185 for chr11:	RP11-413N13.1
gene 530/3185 for chr11:	ARNTL
gene 531/3185 for chr11:	RN7SKP151
gene 532/3185 for chr11:	BTBD10
gene 533/3185 for chr11:	RP11-15D14.1
gene 534/3185 for chr11:	RP11-15D14.2
gene 535/3185 for chr11:	PTH
gene 536/3185 for chr11:	HMGN2P36
gene 537/3185 for chr11:	FAR1
gene 538/3185 for chr11:	FAR1-IT1
gene 539/3185 for chr11:	RPL39P26
gene 540/3185 for chr11:	CENPUP1
gene 541/3185 for chr11:	RP11-23B7.4
gene 542/3185 for chr11:	RP11-98J9.1
gene 543/3185 for chr11:	RP11-98J9.2
gene 544/3185 for chr11:	RP11-98J9.3
gene 545/3185 for chr11:	RNA5SP331
gene 546/3185 for chr11:	RP11-231N3.1
gene 547/3185 for chr11:	SPON1
gene 548/3185 for chr11:	RNA5SP332
gene 549/3185 for chr11:	RP11-21L19.1
gene 550/3185 for chr11:	RRAS2
gene 551/3185 for chr11:	RP11-140L24.3
gene 552/3185 for chr11:	COPB1
gene 553/3185 for chr11:	RNU7-49P
gene 554/3185 for chr11:	RP11-140L24.4
gene 555/3185 for chr11:	PSMA1
gene 556/3185 for chr11:	PDE3B
gene 557/3185 for chr11:	RP11-677N16.1
gene 558/3185 for chr11:	CYP2R1
gene 559/3185 for chr11:	CALCB
gene 560/3185 for chr11:	CALCP
gene 561/3185 for chr11:	CALCA
gene 562/3185 for chr11:	OR7E41P
gene 563/3185 for chr11:	INSC
gene 564/3185 for chr11:	snoMBII-202
gene 565/3185 for chr11:	RP11-531H8.1
gene 566/3185 for chr11:	RP11-531H8.2
gene 567/3185 for chr11:	RP11-396O20.1
gene 568/3185 for chr11:	RP11-396O20.2
